Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Replicate
PIK3CD,0.09,0.0006,0.6683,2.0316,1.21,0.0063,0.5192,2.0838,3.7,0.0139,0.3748,2.1186,iPSC,Rep 1
PIK3R1,0.23,0.0019,0.8098,5.5824,3.05,0.0153,0.5019,5.5632,9.45,0.0365,0.3862,5.7223,iPSC,Rep 1
PIK3R2,0.06,0.0003,0.5981,1.2735,0.78,0.0035,0.4455,1.3124,2.44,0.0083,0.3404,1.3501,iPSC,Rep 1
PLAU,0.34,0.0029,0.8606,8.7016,4.51,0.0278,0.6151,8.7162,13.46,0.0556,0.4131,8.7099,iPSC,Rep 1
PLCB4,0.12,0.001,0.797,2.8556,1.61,0.0075,0.4665,2.8168,4.99,0.0183,0.3659,2.8975,iPSC,Rep 1
PLIN1,0.0,0.0,0.3126,0.021,0.01,0.0,0.3126,0.0224,0.04,0.0001,0.3126,0.0242,iPSC,Rep 1
PLN,0.0,0.0,0.4899,0.012,0.01,0.0,0.4899,0.0128,0.02,0.0001,0.4899,0.0138,iPSC,Rep 1
PMP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iPSC,Rep 1
POFUT1,0.3,0.0023,0.7536,7.3832,4.04,0.0225,0.5562,7.503,12.22,0.0478,0.3913,7.5744,iPSC,Rep 1
POLD1,0.6,0.0058,0.9614,15.8811,7.96,0.0576,0.7236,15.9407,22.85,0.1066,0.4666,15.4465,iPSC,Rep 1
POLE,0.32,0.0024,0.751,8.0334,4.42,0.0249,0.5641,8.2264,13.1,0.0512,0.3908,8.1421,iPSC,Rep 1
POLR1B,0.3,0.0027,0.8943,7.3622,4.02,0.0254,0.6308,7.3494,11.83,0.0486,0.411,7.2178,iPSC,Rep 1
POLR3B,0.16,0.0012,0.7972,3.6796,2.09,0.0116,0.5539,3.6939,6.27,0.0234,0.3739,3.6764,iPSC,Rep 1
POU3F3,0.0,0.0,4.4653,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iPSC,Rep 1
PPARG,0.01,0.0001,0.7864,0.1588,0.09,0.0006,0.5827,0.1568,0.28,0.0012,0.4282,0.1558,iPSC,Rep 1
PPM1D,0.22,0.0019,0.8451,5.3247,2.99,0.0179,0.5973,5.3264,8.92,0.0352,0.3948,5.2896,iPSC,Rep 1
PPOX,0.65,0.0064,0.9862,17.3044,8.44,0.0574,0.6806,17.1987,24.66,0.1086,0.4404,16.9801,iPSC,Rep 1
PPP1CB,2.57,0.0577,2.2443,146.0163,27.65,0.3963,1.4334,140.5759,69.94,0.7171,1.0253,140.0016,iPSC,Rep 1
PPP1R12A,1.4,0.0169,1.2062,56.7405,18.01,0.1559,0.8654,57.2841,51.83,0.3248,0.6267,57.8326,iPSC,Rep 1
PPP2CA,2.14,0.0369,1.7213,114.287,25.72,0.3256,1.2659,113.8864,67.72,0.6037,0.8914,113.7889,iPSC,Rep 1
PPP2R1A,2.68,0.0598,2.2317,180.3524,29.88,0.5072,1.6972,178.3598,67.75,0.8153,1.2034,174.9068,iPSC,Rep 1
PPP2R5D,0.46,0.0035,0.7595,11.9108,6.13,0.0327,0.5336,12.09,18.96,0.0784,0.4136,12.4763,iPSC,Rep 1
PRDM16,0.03,0.0002,0.6493,0.5843,0.35,0.0017,0.4732,0.5954,1.08,0.0039,0.3618,0.6024,iPSC,Rep 1
PRKAG2,0.51,0.0045,0.8794,13.4989,6.74,0.0399,0.5915,13.4536,20.27,0.0822,0.4057,13.5667,iPSC,Rep 1
