Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Cell_Line,Developmental_Stage,Replicate,Source_File,CMO_Assignment_Method
CACNA1E,0.0,0.0,1.3692,0.0723,0.12,0.0016,1.3692,0.0735,0.12,0.0007,0.5725,0.0515,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CACNA1S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CALM1,1.25,0.0259,2.0667,463.638,66.07,1.0812,1.6365,466.5809,92.17,1.4757,1.601,483.8154,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CALM2,1.4,0.0343,2.4505,663.8585,71.68,1.3976,1.9496,667.7935,96.14,1.8589,1.9335,690.2336,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CALM3,1.2,0.0209,1.7411,251.8,63.96,0.8298,1.2973,251.7729,90.84,1.1396,1.2544,259.9294,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CAMK2A,0.21,0.0013,0.5983,9.5928,12.25,0.0637,0.5201,9.5781,17.89,0.0808,0.4518,9.5841,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CAPN3,0.08,0.0006,0.7016,3.5672,4.68,0.0224,0.4784,3.454,6.51,0.0262,0.4022,3.2977,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CAPN5,0.2,0.001,0.481,8.9662,11.78,0.0502,0.4266,9.0146,17.77,0.0721,0.4059,9.3007,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CARD11,0.05,0.0002,0.4714,1.9523,2.81,0.0104,0.3693,1.9597,4.34,0.016,0.3693,2.0611,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CASQ2,0.02,0.0001,0.7084,0.699,0.94,0.0028,0.2954,0.6614,1.39,0.0039,0.2848,0.6699,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CASR,0.0,0.0,0.3643,0.0241,0.04,0.0001,0.3643,0.0245,0.06,0.0002,0.3643,0.0258,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CAV1,0.37,0.0035,0.9454,31.5021,20.71,0.1378,0.6656,31.3797,30.24,0.1841,0.6087,31.9212,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CAV3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CBL,0.71,0.0048,0.6806,55.3878,40.99,0.2583,0.6301,55.974,61.27,0.3712,0.6059,57.8651,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CCM2,0.42,0.0024,0.5654,23.2831,24.3,0.1119,0.4607,23.4185,36.51,0.1598,0.4377,24.1663,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CCND2,1.23,0.022,1.785,354.6218,66.81,0.9978,1.4935,356.764,92.41,1.3301,1.4394,365.2769,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CD164,1.02,0.0114,1.1119,135.8665,58.27,0.5587,0.9588,136.9833,85.42,0.792,0.9272,141.5712,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CD2AP,0.78,0.0062,0.7916,68.5478,45.2,0.3171,0.7016,69.1775,66.45,0.4404,0.6627,71.0046,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CD46,0.85,0.0072,0.8468,70.2832,48.6,0.3437,0.7072,70.5493,71.45,0.4771,0.6678,72.0867,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CDC42,1.27,0.0261,2.0508,453.3943,68.49,1.1722,1.7115,456.9048,95.3,1.6086,1.6879,472.9431,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CDH11,0.62,0.0065,1.0502,108.5341,35.57,0.3319,0.933,109.6699,52.47,0.4714,0.8985,113.6692,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CDK4,0.88,0.0092,1.0457,100.1223,49.96,0.4176,0.8359,100.5573,73.8,0.5824,0.7893,104.1366,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CEACAM16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CEBPA,0.04,0.0003,0.6144,2.2415,2.38,0.0102,0.4304,2.2292,3.55,0.0147,0.4133,2.1641,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CEL,0.02,0.0001,0.5347,0.6267,0.94,0.004,0.4291,0.6124,1.39,0.0047,0.3426,0.6183,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CEP85L,0.4,0.0024,0.5941,25.7175,23.52,0.1308,0.5562,26.0396,35.06,0.1842,0.5252,26.7684,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CFB,0.01,0.0001,0.61,0.3615,0.59,0.0036,0.61,0.3674,0.84,0.004,0.477,0.3607,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CFH,0.0,0.0001,2.0016,0.1446,0.16,0.0012,0.7486,0.1225,0.24,0.0018,0.7486,0.1288,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CFI,0.38,0.0035,0.915,46.6868,22.15,0.1951,0.8806,47.3758,33.61,0.292,0.8688,49.5177,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CHAMP1,0.4,0.0025,0.6114,21.3067,22.97,0.1073,0.467,21.2628,34.34,0.1503,0.4376,21.7445,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CHCHD10,1.37,0.0315,2.2994,308.2725,65.48,0.898,1.3713,303.6071,89.28,1.1484,1.2863,310.2715,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CHD3,0.86,0.0077,0.8967,89.493,49.49,0.3939,0.7959,90.3178,72.77,0.5542,0.7616,92.6976,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CHD4,1.25,0.023,1.8423,350.7413,67.71,1.0331,1.5259,352.8936,93.73,1.382,1.4743,361.232,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CHMP2B,0.76,0.0063,0.8309,65.7278,43.37,0.3036,0.7001,66.189,64.52,0.4332,0.6714,68.3252,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CHN1,0.34,0.0019,0.5556,17.378,19.85,0.0963,0.4849,17.5148,29.7,0.1359,0.4575,17.9315,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CHRNA4,0.0,0.0,0.3661,0.0964,0.12,0.0004,0.3661,0.098,0.18,0.0007,0.3661,0.1031,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CHRNB1,0.25,0.0012,0.4842,10.6293,14.31,0.0617,0.4307,10.7294,21.33,0.0875,0.4104,10.9238,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CHRNB2,0.0,0.0,0.4652,0.0241,0.04,0.0002,0.4652,0.0245,0.06,0.0003,0.4652,0.0258,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CITED2,0.63,0.0056,0.8759,54.2068,35.84,0.2589,0.7224,54.2348,51.99,0.3474,0.6682,55.0569,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CLCN6,0.23,0.0014,0.5829,10.099,13.46,0.0652,0.4846,10.0925,19.1,0.0749,0.3923,9.8675,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CLCN7,0.21,0.0013,0.6065,8.9421,11.86,0.0536,0.4517,8.9167,17.71,0.0732,0.4132,9.1203,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CNNM2,0.23,0.0013,0.5897,12.4128,13.18,0.0638,0.4837,12.4686,19.58,0.0884,0.4518,12.753,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CNOT3,0.46,0.0027,0.5921,25.2354,26.76,0.1364,0.5097,25.4272,39.58,0.1851,0.4676,25.944,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
COCH,0.05,0.0002,0.3706,2.1933,3.12,0.0116,0.3706,2.2292,4.7,0.0164,0.3491,2.2672,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
COL10A1,0.0,0.0,0.2904,0.1205,0.2,0.0006,0.2904,0.1225,0.3,0.0009,0.2904,0.1288,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
COL11A1,0.31,0.002,0.6505,22.8252,18.14,0.1039,0.573,22.9775,27.11,0.1508,0.5562,23.4964,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
COL11A2,0.1,0.0007,0.7255,4.5554,5.81,0.0318,0.5481,4.5073,8.25,0.037,0.4479,4.4056,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
COL1A2,1.02,0.0249,2.438,666.3892,54.06,1.114,2.0608,673.4031,74.94,1.5411,2.0564,700.2815,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
COL4A3,0.0,0.0001,1.2589,0.1928,0.23,0.0005,0.2322,0.1715,0.36,0.0008,0.2322,0.1803,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
COL4A4,0.01,0.0001,0.7166,0.5544,0.7,0.0023,0.3217,0.5389,1.08,0.0035,0.3217,0.5668,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
COL5A2,1.03,0.0167,1.6215,273.6611,57.02,0.7817,1.3709,275.9507,81.75,1.0856,1.328,285.255,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
COL6A1,1.15,0.0199,1.728,334.5202,63.65,0.9468,1.4876,337.3139,89.88,1.304,1.4508,348.4017,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
COL6A2,0.97,0.013,1.333,158.6916,54.45,0.5972,1.0968,159.5688,78.73,0.8253,1.0482,163.831,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
COL6A3,0.49,0.0062,1.2663,95.9043,27.77,0.3065,1.1036,96.9318,40.42,0.4227,1.0457,99.7053,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
COMP,0.0,0.0,0.4136,0.0482,0.08,0.0003,0.4136,0.049,0.12,0.0005,0.4136,0.0515,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CPOX,0.25,0.0012,0.4825,11.1836,14.31,0.0636,0.4446,11.2928,21.69,0.0909,0.419,11.6967,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CRX,0.01,0.0001,0.5938,0.3615,0.59,0.0035,0.5938,0.3674,0.78,0.0026,0.3287,0.3349,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CSDE1,1.26,0.0234,1.8608,351.7777,68.14,1.0484,1.5388,353.8245,95.36,1.4327,1.5024,364.8389,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CSNK2A1,1.11,0.0139,1.2586,159.2942,61.66,0.6397,1.0375,159.7893,88.8,0.8831,0.9945,163.5733,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CSNK2B,1.07,0.0141,1.3183,140.7593,58.42,0.5656,0.9682,140.3148,85.84,0.7995,0.9314,145.1781,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CSRP3,1.13,0.0337,2.9812,309.9597,46.22,0.6987,1.5119,301.6963,56.08,0.7515,1.34,301.5376,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CTLA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CTNND1,0.89,0.0079,0.8935,77.8515,50.55,0.378,0.7477,78.1677,73.37,0.5086,0.6931,79.6612,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CTR9,0.74,0.0057,0.7669,61.6786,42.67,0.2877,0.6742,62.1716,63.07,0.4022,0.6376,63.8165,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CUX2,0.06,0.0004,0.6215,2.7236,3.67,0.0174,0.4758,2.6946,5.0,0.0174,0.3472,2.5248,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CXCR4,0.06,0.0003,0.4229,2.82,3.47,0.0147,0.4229,2.8661,5.18,0.0204,0.393,2.9371,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
CYFIP2,0.46,0.0037,0.8068,29.357,26.01,0.1539,0.5916,29.1261,37.35,0.1947,0.5213,28.9841,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
DCC,0.0,0.0,0.3359,0.1687,0.27,0.0009,0.3359,0.1715,0.42,0.0014,0.3359,0.1803,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
DCTN1,0.8,0.0076,0.9577,70.3555,44.7,0.316,0.7071,70.1819,65.54,0.4359,0.665,71.8548,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
DDR2,0.46,0.0032,0.6936,39.215,26.68,0.179,0.6709,39.782,40.18,0.2615,0.6508,41.2218,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
DES,0.46,0.006,1.3069,49.7719,24.22,0.1871,0.7725,48.8946,35.06,0.2465,0.7032,50.2133,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
DHX30,0.69,0.0054,0.7848,45.1201,39.04,0.225,0.5764,44.9262,57.95,0.3134,0.5408,46.22,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
DIAPH1,0.56,0.0034,0.6113,40.637,32.33,0.1804,0.5579,41.0558,48.31,0.2547,0.5273,42.1493,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
DNAJB11,0.75,0.0064,0.8493,67.4391,42.47,0.288,0.6781,67.5853,62.83,0.4069,0.6476,69.6391,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
DNAJB6,1.05,0.013,1.2356,139.289,58.07,0.5594,0.9632,139.3839,84.1,0.7705,0.9163,143.2716,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
DNAJC5,0.33,0.002,0.6158,15.9559,18.72,0.0864,0.4616,15.8981,27.35,0.1119,0.4091,15.9477,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
DNM1,0.45,0.0027,0.6162,27.019,25.82,0.1457,0.5643,27.2644,37.83,0.1966,0.5196,27.5413,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
DNM1L,0.9,0.0083,0.9265,87.6371,51.21,0.4024,0.7858,87.9662,73.61,0.5339,0.7252,89.1937,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
DNM2,0.52,0.0039,0.7477,28.176,29.21,0.1569,0.5372,27.8768,41.93,0.1932,0.4608,27.8505,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
DPF2,0.53,0.0035,0.6578,30.4898,30.38,0.1554,0.5114,30.4979,45.6,0.2214,0.4856,31.4574,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
DSC2,0.81,0.0069,0.8469,87.0828,47.23,0.3751,0.7941,88.1622,69.46,0.527,0.7587,90.8168,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
DSPP,0.0,0.0,1.1962,0.0723,0.08,0.0009,1.1962,0.0735,0.12,0.0014,1.1962,0.0773,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
EED,0.42,0.0025,0.6138,22.6324,23.75,0.117,0.4926,22.6101,35.06,0.1612,0.4599,23.0842,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
EEF1A2,0.71,0.0116,1.6509,74.6217,35.61,0.3223,0.9051,72.1661,48.98,0.3908,0.7979,71.9836,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
EFEMP1,0.31,0.0019,0.6125,21.0175,18.1,0.0984,0.5436,21.2383,27.65,0.1477,0.5341,22.2083,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
EGFR,0.28,0.0015,0.5373,18.0047,16.54,0.0866,0.5235,18.2497,25.12,0.13,0.5174,18.9878,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
EGR2,0.01,0.0001,0.5863,0.6026,0.74,0.0034,0.4563,0.5879,1.14,0.0052,0.4563,0.6183,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
EIF2S3,1.04,0.0126,1.2136,139.1203,57.8,0.5595,0.968,139.4329,84.28,0.7837,0.9299,144.0445,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ELANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ELOVL4,0.16,0.0007,0.4357,7.3995,9.48,0.0374,0.3943,7.4714,14.34,0.0523,0.3649,7.7291,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ELP4,0.36,0.0019,0.5336,16.8236,20.79,0.0928,0.4462,16.8779,31.27,0.1326,0.4241,17.3647,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
EMC1,0.4,0.0023,0.5817,21.9334,23.01,0.111,0.4824,21.9977,34.22,0.1503,0.4392,22.4917,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
EPCAM,0.35,0.0042,1.204,67.7766,19.54,0.1766,0.9037,68.1732,28.31,0.237,0.837,70.6439,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
EPHB4,0.35,0.002,0.5583,17.8841,20.36,0.0982,0.4825,17.9558,30.6,0.1399,0.4573,18.4983,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ETS1,0.53,0.0045,0.8575,54.8094,30.42,0.2391,0.786,55.3616,45.18,0.3367,0.7453,57.0407,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
EZH2,0.69,0.0055,0.8059,66.234,39.7,0.2905,0.7317,66.8994,57.77,0.3928,0.6799,68.557,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
F11,0.0,0.0,0.1497,0.0482,0.08,0.0001,0.1497,0.049,0.12,0.0002,0.1497,0.0515,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
F12,0.13,0.0008,0.6101,5.3508,7.61,0.0319,0.42,5.3157,11.45,0.0443,0.3871,5.4619,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
F2,0.04,0.0003,0.782,2.6754,2.15,0.0119,0.5542,2.6456,3.25,0.017,0.524,2.7567,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
F5,0.04,0.0002,0.4702,2.1933,2.18,0.0103,0.4702,2.2292,3.31,0.0149,0.4484,2.3187,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
FAM111B,0.17,0.001,0.6069,12.1236,9.79,0.0532,0.5438,12.2236,14.4,0.0689,0.4783,12.5211,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
FAR1,0.52,0.0034,0.6443,30.996,30.19,0.1623,0.5378,31.1103,44.1,0.2112,0.479,31.3801,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
FBLN5,0.1,0.0004,0.3987,4.1939,5.81,0.0221,0.3799,4.2379,8.92,0.0323,0.3628,4.4313,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
FBXO38,0.36,0.0019,0.5369,16.5344,21.06,0.1016,0.4826,16.682,30.78,0.1329,0.4318,16.7206,SCVI111 Day 13 cardiomyocytes,SCVI111,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
