Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Replicate,Source_File
SAMD9,0.01,0.0001,0.9935,0.965,0.69,0.0043,0.6233,1.0727,0.92,0.0052,0.5617,1.0724,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SAMD9L,0,0,1.0029,0.0468,0.04,0.0004,1.0029,0.0596,0.05,0.0003,0.654,0.05,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SATB1,0.88,0.0154,1.746,95.2531,38.38,0.4,1.0422,100.5454,50.46,0.4959,0.9828,101.2103,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SCAF4,0.42,0.0066,1.566,31.2154,18.52,0.1575,0.8508,30.214,24.35,0.1916,0.7867,30.0952,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SCN11A,0.05,0.0006,1.1501,3.6474,2.87,0.0237,0.826,4.1499,3.8,0.0295,0.7764,4.1453,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SCN1B,0.05,0.0006,1.1996,3.1968,2.42,0.0182,0.7519,3.4239,3.21,0.0226,0.7047,3.4229,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SCN3A,1.82,0.0423,2.3242,281.3678,68.06,1.0523,1.5462,298.299,86.52,1.262,1.4585,298.6575,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SCN8A,0.6,0.0086,1.4194,53.0105,29.72,0.2799,0.9417,58.4994,39,0.342,0.8769,58.4457,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SCNN1G,0.01,0.0001,1.2379,0.4421,0.33,0.0026,0.7888,0.4713,0.44,0.0033,0.7462,0.4723,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SDHA,0.6,0.009,1.5057,48.6531,27.82,0.2489,0.8948,50.8714,36.85,0.312,0.8466,51.1108,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SEC61A1,0.59,0.0096,1.6282,47.1143,25.66,0.2297,0.8952,46.326,33.72,0.2796,0.8292,46.1987,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SEC63,1.26,0.0241,1.9105,144.935,52.32,0.6052,1.1566,150.4037,68.62,0.7525,1.0967,151.3264,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SEMA6B,0.2,0.0027,1.3391,14.2792,10.06,0.0817,0.8116,15.2126,13.37,0.1026,0.7671,15.2699,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SEPTIN9,0.47,0.0072,1.5513,36.4824,20.44,0.1642,0.803,35.9729,27.05,0.2025,0.7486,36.0965,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SERPINC1,0,0,1.375,0.034,0.02,0.0002,0.7084,0.0325,0.03,0.0002,0.7084,0.0333,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SERPIND1,0,0,1.2492,0.0128,0.01,0.0001,1.2492,0.0163,0.02,0.0002,1.2492,0.0167,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SERPING1,0.11,0.0012,1.0909,7.9112,6.1,0.0474,0.7769,9.1503,8.13,0.0599,0.7366,9.2075,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SERPINI1,0.54,0.0091,1.681,45.5924,23.55,0.2265,0.9618,45.237,31.01,0.2797,0.9017,45.2762,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SETX,0.96,0.016,1.6658,102.1822,44.13,0.4664,1.0568,110.7793,57.99,0.5779,0.9966,111.2902,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SFTPA1,0,0,2.5935,0.0043,0,0.0001,2.5935,0.0054,0,0,0,0,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SFTPA2,0,0,1.3375,0.0128,0.01,0,0.3687,0.0108,0.01,0,0.3687,0.0111,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SFTPC,0.01,0.0001,1.5302,0.3443,0.23,0.0017,0.7532,0.3196,0.31,0.0023,0.7532,0.3278,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SHANK1,0.63,0.0094,1.4877,55.4548,29.85,0.2652,0.8885,59.4583,39.55,0.3315,0.8381,59.8182,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
