Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Replicate,Source_File
AARS1,0.44,0.0071,1.623,33.6512,19.23,0.1624,0.8445,33.0962,25.35,0.1987,0.7838,33.057,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ABCB6,0.02,0.0003,1.5545,1.0755,0.75,0.006,0.8063,1.0456,0.96,0.0067,0.702,1.0169,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ABCC6,0.01,0.0001,1.002,0.7524,0.61,0.0041,0.6764,0.8451,0.83,0.0056,0.6764,0.8668,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ABCC8,0.13,0.0015,1.0985,9.4543,7.14,0.056,0.7846,10.8731,9.48,0.0701,0.7392,10.9079,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ABCC9,0.11,0.0011,0.9952,7.7411,6.3,0.0505,0.8016,9.3345,8.35,0.0631,0.7556,9.3464,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACAN,0.01,0.0001,1.0078,0.5654,0.49,0.0041,0.8274,0.6826,0.66,0.0053,0.7961,0.689,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACD,0.4,0.0061,1.5166,30.5862,18.05,0.1428,0.7909,30.3603,23.93,0.177,0.7396,30.4731,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACO2,1.01,0.0178,1.7624,102.178,43.71,0.455,1.0408,106.6727,57.4,0.5621,0.9794,107.2004,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACOX1,0.35,0.0052,1.4777,26.1822,16.1,0.1309,0.8132,26.1183,21.32,0.1624,0.7615,26.1666,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACTA1,0.01,0.0001,1.305,0.6589,0.44,0.0028,0.6289,0.6393,0.6,0.0038,0.6289,0.6557,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACTA2,0.25,0.0027,1.0404,18.7896,14.43,0.1245,0.8629,22.8569,19.11,0.1553,0.8126,22.8493,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACTB,8.17,0.3291,4.03,3618.4895,94.75,3.3335,3.5181,3709.9253,98.94,3.5077,3.5454,3732.1497,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACTC1,0,0,1.6244,0.0298,0.02,0.0003,1.3093,0.0325,0.02,0.0002,1.0156,0.0278,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACTG1,8.06,0.3188,3.9535,3046.8562,94.21,3.171,3.366,2992.9155,98.63,3.3064,3.3523,2998.978,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACTL6A,0.4,0.0061,1.5295,30.3907,17.48,0.1405,0.8036,29.7644,23.17,0.174,0.7513,29.8174,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACTN1,0.29,0.0041,1.3913,22.0842,13.99,0.1143,0.8167,23.079,18.42,0.1387,0.7531,22.9937,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACTN2,0.06,0.0007,1.1438,4.1065,3.23,0.0259,0.8013,4.67,4.27,0.0318,0.7463,4.6565,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ACVR1,0.18,0.0028,1.5248,12.5533,8.09,0.0645,0.7972,12.0271,10.65,0.0781,0.7328,11.9581,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ADAR,1.13,0.0209,1.8454,115.7728,47.97,0.5315,1.108,118.8299,62.37,0.6429,1.0307,118.5584,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ADCY5,0.24,0.0027,1.1505,17.6291,12.29,0.0931,0.7576,19.8447,16.38,0.1173,0.7161,19.982,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
AFG3L2,0.95,0.0178,1.8769,84.2003,37.29,0.3725,0.9988,78.7125,48.16,0.4355,0.9043,77.8776,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
AGO2,0.93,0.0153,1.6492,94.9512,42.31,0.4379,1.0349,102.1003,55.68,0.544,0.9769,102.5772,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
AICDA,0.03,0.0002,0.8904,1.7217,1.52,0.0117,0.7701,2.1183,2,0.0141,0.7055,2.1004,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
AKT3,1.33,0.0255,1.9231,165.5652,56.67,0.7032,1.2408,177.7193,73.64,0.8611,1.1694,178.3821,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ALB,0,0,1.3786,0.1318,0.09,0.0006,0.74,0.1246,0.11,0.0007,0.6545,0.1222,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ALDH18A1,0.19,0.0031,1.6132,13.4205,8.21,0.067,0.8159,12.2871,10.68,0.0779,0.7295,12.0859,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ALG5,0.69,0.011,1.5831,61.0832,31.39,0.2844,0.9058,63.321,41.36,0.3501,0.8466,63.519,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ALG8,0.36,0.0048,1.339,26.9388,17.56,0.1485,0.8459,29.0059,23.15,0.1819,0.786,28.9506,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ALG9,0.26,0.0032,1.2342,18.7216,13.25,0.1094,0.8255,20.847,17.53,0.1357,0.774,20.8655,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ALK,0.11,0.0014,1.2953,8.009,5.58,0.0464,0.831,8.679,7.38,0.0574,0.7777,8.6852,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ALPK3,0.01,0.0001,1.111,0.7524,0.57,0.0041,0.7239,0.8235,0.75,0.0048,0.6382,0.8113,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ALPL,0.01,0.0001,1.2853,0.4379,0.3,0.0019,0.6281,0.4442,0.41,0.0026,0.6281,0.4557,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ANK1,0.5,0.0081,1.6104,38.9905,22.07,0.1987,0.9004,38.3784,28.64,0.2324,0.8115,37.8302,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ANKRD26,0.74,0.0107,1.4574,71.613,36.6,0.366,1.0001,79.9531,48.22,0.455,0.9434,80.1447,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ANO5,0.97,0.0169,1.7477,110.3272,42.6,0.461,1.0821,118.6457,55.84,0.5689,1.0188,119.3752,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ANXA11,0.11,0.0013,1.1877,7.5796,5.31,0.0372,0.7002,8.186,7.08,0.0468,0.6616,8.2462,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
AP1G1,0.88,0.0158,1.8043,76.9268,35.5,0.3429,0.9659,73.6632,46.33,0.4124,0.8902,73.3544,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
AP2M1,2.21,0.0577,2.6063,313.6842,65.59,0.9969,1.5199,299.9297,82.4,1.1617,1.4099,299.4299,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
APP,3.64,0.1175,3.2246,769.842,80.45,1.79,2.225,756.5368,95.16,2.0126,2.1149,755.693,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ARF1,2.62,0.0738,2.8146,463.3208,70.23,1.268,1.8054,455.9894,86.58,1.4671,1.6946,456.5909,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ARHGAP29,0.1,0.0014,1.3077,7.3245,5.11,0.042,0.8212,7.6388,6.69,0.05,0.7465,7.546,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ASXL2,0.3,0.0042,1.3795,22.7856,14.42,0.1167,0.8094,23.6154,19.05,0.1433,0.7522,23.5994,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ATL1,1.88,0.0453,2.4049,288.1015,64.45,0.9627,1.4939,293.6616,82.22,1.1565,1.4067,294.7178,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ATL3,0.1,0.0013,1.3046,6.8059,4.78,0.0363,0.7594,7.0429,6.35,0.0452,0.7122,7.057,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ATP11A,0.71,0.0108,1.5271,66.2992,33.29,0.3151,0.9463,71.9188,43.82,0.3882,0.8859,72.1208,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ATP13A3,0.76,0.0123,1.6148,65.8273,33.92,0.3246,0.9569,67.0646,44.41,0.3942,0.8877,66.8919,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ATP1A1,0.54,0.0093,1.7161,42.2043,22.76,0.2087,0.917,39.8574,29.66,0.2485,0.8377,39.4639,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ATP1A2,0.01,0.0002,1.0299,1.033,0.82,0.0069,0.8452,1.2406,1.09,0.0087,0.8019,1.2447,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ATP1A3,1.54,0.0336,2.1824,251.8741,61.61,0.8845,1.4357,277.5713,80.21,1.1035,1.3757,280.6371,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ATP2B2,0.33,0.0047,1.4505,24.9536,15.09,0.1244,0.8243,25.5494,19.89,0.1519,0.7638,25.5276,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ATXN2,1.43,0.0292,2.0427,184.6737,57.75,0.7396,1.2806,194.1455,74.78,0.9006,1.2044,194.6911,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
BACH2,0.61,0.009,1.4786,52.985,28.77,0.2605,0.9055,56.9066,38.23,0.3292,0.8612,57.401,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
BCL11B,0.16,0.0019,1.2508,13.4163,8.05,0.0694,0.8627,15.2885,10.7,0.0874,0.8173,15.3921,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
BEST1,0.07,0.0012,1.7059,4.5274,3.14,0.0243,0.7717,4.4587,4.18,0.0303,0.7259,4.4732,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
BICRA,0.11,0.0014,1.2429,7.6986,5.64,0.0432,0.766,8.2835,7.48,0.0536,0.7164,8.2906,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
BRAF,0.8,0.0132,1.6542,70.4567,35.23,0.3438,0.9759,71.9567,46.05,0.4167,0.9049,71.7652,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
BRD4,1.21,0.0226,1.8691,139.1535,51.03,0.5793,1.1353,146.3838,66.89,0.7183,1.0739,147.3367,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
BRSK2,0.77,0.0141,1.8296,63.1875,30.65,0.2927,0.9551,58.5102,39.54,0.3385,0.8563,57.6066,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
BSCL2,0.14,0.0019,1.3908,9.2928,6.5,0.0505,0.7767,9.6217,8.59,0.0618,0.72,9.6076,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
C19orf12,0.8,0.0133,1.6657,74.2954,34.58,0.3199,0.9251,75.6136,45.45,0.3911,0.8605,75.816,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
C1QTNF5,0,0,0,0,0,0,0,0,0,0,0,0,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
C3,0.01,0.0001,1.0241,0.8417,0.71,0.0051,0.7241,0.9914,0.95,0.0066,0.6929,1.0002,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
C9orf72,0.71,0.0119,1.6727,61.3425,30.44,0.2774,0.9112,60.8127,39.92,0.3363,0.8424,60.7684,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CACNA1C,0.22,0.0027,1.2488,15.6651,11.13,0.0929,0.8346,17.358,14.68,0.1141,0.7775,17.3148,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CACNA1D,0.19,0.0024,1.2443,13.8031,9.91,0.0832,0.8389,15.2993,13.08,0.1023,0.782,15.2477,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CACNA1E,0.71,0.0111,1.5584,65.5213,34.05,0.3486,1.0239,71.1766,44.41,0.4221,0.9504,70.8038,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CACNA1S,0,0,2.3543,0.0553,0.02,0.0003,1.186,0.0325,0.03,0.0002,0.8427,0.0278,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CALM1,7.94,0.3073,3.8679,2801.1038,93.87,3.0562,3.2557,2633.9175,98.05,3.1314,3.1938,2626.166,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CALM2,7.32,0.2788,3.807,2483.3682,91.84,2.8929,3.15,2417.6519,97.55,3.0305,3.1065,2421.4004,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CALM3,3.78,0.1195,3.1641,682.6532,76.6,1.5915,2.0778,626.8716,90.21,1.7511,1.9411,623.4484,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CAMK2A,0.18,0.0023,1.258,13.1995,9.22,0.0761,0.8256,14.4813,12.19,0.0941,0.7721,14.4753,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CAPN3,0.03,0.0002,0.8589,1.8705,1.65,0.0126,0.7631,2.3133,2.21,0.0164,0.7409,2.3449,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CAPN5,0.1,0.0014,1.3636,7.0652,4.83,0.0347,0.7185,7.0646,6.39,0.0421,0.6594,7.0459,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CARD11,0,0,1.6825,0.0553,0.04,0.0003,0.6824,0.0542,0.05,0.0004,0.6824,0.0556,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CASQ2,0,0,0.719,0.2126,0.2,0.0014,0.719,0.2709,0.26,0.0018,0.6844,0.2723,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CASR,0.07,0.0009,1.1434,5.0417,3.96,0.0319,0.806,5.7156,5.22,0.0389,0.7444,5.6845,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CAV1,0.03,0.0003,1.2108,2.1808,1.38,0.0083,0.6059,2.3025,1.85,0.0108,0.5811,2.3394,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CAV3,0,0,0,0,0,0,0,0,0,0,0,0,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CBL,0.78,0.0124,1.5849,73.6408,35.45,0.3342,0.9429,77.3797,46.56,0.4092,0.8789,77.5664,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CCM2,0.47,0.0073,1.5378,37.5112,20.77,0.1667,0.8026,37.2244,27.43,0.2042,0.7444,37.3134,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CCND2,1.71,0.0435,2.5477,293.1687,52.93,0.8287,1.5656,299.1821,66.3,0.9649,1.4553,299.8856,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CD164,0.47,0.0075,1.5761,36.1763,20.65,0.1739,0.8419,35.247,27.17,0.2112,0.7771,35.1797,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CD2AP,0.22,0.0029,1.3608,15.5418,10.49,0.0902,0.86,16.3233,13.82,0.1107,0.8011,16.2757,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CD46,1.14,0.0203,1.7814,120.3002,50.85,0.5902,1.1607,128.1807,65.95,0.7146,1.0835,127.6492,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CDC42,1.13,0.0216,1.912,108.1592,44.47,0.4697,1.056,105.3508,57.58,0.5589,0.9707,104.9055,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CDH11,0.4,0.006,1.4986,38.4124,18.41,0.1554,0.8441,40.8271,24.33,0.192,0.7893,41.1031,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CDK4,0.5,0.0076,1.5085,41.1288,22.8,0.1892,0.8296,41.9052,30.15,0.2335,0.7743,42.02,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CEACAM16,0,0,0,0,0,0,0,0,0,0,0,0,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CEBPA,0.03,0.0004,1.418,1.913,1.35,0.0101,0.7473,1.9124,1.78,0.0121,0.6785,1.8948,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CEL,0.01,0.0001,1.264,0.5866,0.45,0.0033,0.7352,0.6339,0.6,0.004,0.6791,0.6335,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CEP85L,1.78,0.0436,2.456,331.2028,62.62,1.0149,1.6208,355.639,79.06,1.206,1.5254,356.7976,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CFB,0,0,3.4526,0.0043,0,0,0,0,0,0,0,0,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CFH,0.1,0.001,1.059,6.7719,5.17,0.0397,0.7684,7.926,6.84,0.0491,0.7175,7.935,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CFI,0.01,0.0002,1.1501,0.9267,0.78,0.0062,0.8031,1.0781,1.03,0.0078,0.7553,1.078,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CHAMP1,0.72,0.0127,1.7786,58.9024,28.66,0.2628,0.9169,54.6854,37.42,0.3136,0.8381,54.3393,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CHCHD10,1.01,0.021,2.0878,131.965,37.52,0.4334,1.155,135.7436,48.74,0.5252,1.0777,136.6511,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CHD3,1.47,0.0311,2.1199,168.7748,55.97,0.7096,1.2678,168.206,71.86,0.8454,1.1765,167.5687,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CHD4,1,0.0159,1.5853,126.4259,49.06,0.5417,1.1043,145.945,65.4,0.7007,1.0714,148.2424,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CHMP2B,0.93,0.0178,1.9117,90.5812,35.98,0.3604,1.0018,86.0587,46.84,0.4307,0.9195,85.7681,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CHN1,0.95,0.0179,1.8878,86.1388,37.19,0.3754,1.0096,81.3346,48.06,0.4402,0.9159,80.6226,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CHRNA4,0.3,0.0041,1.3909,22.2967,14.16,0.1113,0.7862,23.3282,18.79,0.1386,0.7374,23.4272,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CHRNB1,0.4,0.0059,1.4911,30.5692,17.73,0.1407,0.7932,30.409,23.49,0.1738,0.7398,30.4898,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CHRNB2,0.18,0.0026,1.4705,12.4003,8.07,0.0628,0.7783,12.2221,10.53,0.0732,0.6951,12.0637,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CITED2,1.38,0.0299,2.1659,165.1954,49.48,0.6125,1.2379,162.3441,64,0.7409,1.1577,162.7455,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CLCN6,0.47,0.0069,1.4725,37.8002,21.99,0.1895,0.8619,39.6569,28.76,0.2268,0.7883,39.4028,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CLCN7,0.1,0.0013,1.254,7.0355,5.22,0.0405,0.7765,7.5847,6.93,0.0506,0.7309,7.6072,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CNNM2,0.34,0.005,1.5032,24.7538,15.16,0.1245,0.8211,24.6393,20.04,0.1535,0.766,24.6552,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CNOT3,0.31,0.005,1.5775,22.5475,13.57,0.1096,0.8082,21.3508,17.83,0.1324,0.7423,21.2489,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
COCH,0.84,0.0151,1.8098,72.3527,33.42,0.3181,0.9516,68.3594,43.61,0.3809,0.8735,68.0422,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
COL10A1,0,0,0.7436,0.034,0.03,0.0002,0.7436,0.0433,0.04,0.0003,0.7436,0.0445,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
COL11A1,0.07,0.0011,1.5754,5.5008,3.24,0.0341,1.0516,5.7698,4.12,0.0385,0.9352,5.5567,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
COL11A2,0.02,0.0003,1.5822,1.2286,0.88,0.0082,0.9249,1.2298,1.13,0.0091,0.8077,1.178,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
COL1A2,0.01,0.0002,1.2903,1.1435,0.73,0.0056,0.7732,1.2244,0.97,0.007,0.7275,1.2336,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
COL4A3,0.01,0.0001,1.0743,0.7227,0.59,0.0044,0.7561,0.8181,0.78,0.0056,0.7179,0.8224,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
COL4A4,0.02,0.0002,1.0376,1.2626,1.04,0.0077,0.7362,1.4736,1.39,0.0097,0.6998,1.4836,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
COL5A2,0.02,0.0003,1.5613,1.6026,0.99,0.0087,0.878,1.6307,1.29,0.0102,0.7938,1.6059,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
COL6A1,1.14,0.0219,1.9276,119.3777,46.07,0.511,1.1092,120.6285,59.61,0.6111,1.0251,120.2476,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
COL6A2,0.03,0.0004,1.4368,1.913,1.33,0.0114,0.8572,1.9828,1.77,0.0146,0.8231,2.0004,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
COL6A3,0.03,0.0004,1.169,2.2786,1.8,0.0135,0.7495,2.5842,2.39,0.0169,0.7074,2.595,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
COMP,0.01,0.0001,1.0455,0.8247,0.69,0.0054,0.7769,0.9535,0.92,0.0068,0.7339,0.9558,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CPOX,0.2,0.003,1.4957,13.8966,8.87,0.0708,0.7988,13.4844,11.7,0.0863,0.7377,13.4417,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CRX,0.04,0.0004,0.997,2.3636,2.02,0.0157,0.7787,2.8063,2.68,0.0196,0.7328,2.8117,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CSDE1,3.17,0.0959,3.0298,641.9878,75.06,1.5529,2.0688,634.413,90.61,1.7769,1.9609,635.351,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CSNK2A1,1.35,0.0269,1.99,165.9904,54.75,0.6693,1.2225,173.8565,71.22,0.8197,1.1508,174.5702,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CSNK2B,1.61,0.0364,2.2672,203.9011,55.67,0.7118,1.2786,200.4895,71.59,0.852,1.19,200.9369,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CSRP3,0,0,0.9592,0.0595,0.05,0.0004,0.7723,0.0704,0.07,0.0005,0.7723,0.0722,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CTLA4,0,0,1.179,0.0255,0.02,0.0002,0.7832,0.0271,0.03,0.0002,0.7832,0.0278,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CTNND1,0.28,0.0033,1.1583,21.336,15.32,0.1334,0.8706,24.8885,20.27,0.1663,0.8203,24.933,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CTR9,0.71,0.0111,1.5722,62.3543,31.96,0.2963,0.9272,64.5725,42.05,0.3637,0.8649,64.6192,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CUX2,0.3,0.0042,1.3996,22.4455,14.51,0.123,0.8474,23.4962,19.21,0.1528,0.7953,23.5216,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CXCR4,0.01,0.0001,1.6201,0.9395,0.41,0.0046,1.1419,1.0564,0.54,0.0059,1.099,1.0669,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
CYFIP2,1.38,0.0284,2.0593,161.5438,53.43,0.6377,1.1934,163.8069,69.29,0.7732,1.1158,164.1958,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
DCC,0.55,0.0087,1.5884,51.6799,25.72,0.2639,1.0262,55.7147,33.91,0.3293,0.9711,55.9674,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
DCTN1,1.69,0.041,2.4231,227.8132,57.34,0.7737,1.3494,225.6326,73.07,0.9134,1.25,225.5088,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
DDR2,0.02,0.0002,1.0746,1.118,0.86,0.0062,0.7221,1.2677,1.15,0.0081,0.7021,1.2892,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
