Dataset,Sample_ID,Cell_Type,Replicate,QC_Min_Genes,Cells_Passing_QC,Median_Genes_Per_Cell,Gene_Symbol,Detection_Rate_%,Mean_Log1pCPM_percell_All,Mean_Log1pCPM_percell_Only_Detected,Aggregated_CPM,Gene_Found
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,SPTBN1,80.22,3.7897000312805176,4.7241997718811035,117.76480102539062,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,SPTBN2,4.96,0.1664000004529953,3.3561999797821045,1.8127000331878662,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,SPTLC2,51.23,2.009500026702881,3.922800064086914,31.965299606323242,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,SQSTM1,88.77,4.698599815368652,5.292799949645996,257.63238525390625,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,SRC,22.13,0.8098000288009644,3.660099983215332,9.8818998336792,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,SRCAP,2.45,0.08429999649524689,3.438999891281128,0.8770999908447266,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,SSBP1,81.31,3.7874999046325684,4.658199787139893,108.81839752197266,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,STAT1,35.04,1.3372999429702759,3.816499948501587,19.861400604248047,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,STAT3,59.35,2.4158999919891357,4.070899963378906,42.45140075683594,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,STAT6,17.28,0.6295999884605408,3.644700050354004,7.094699859619141,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,STIM1,20.82,0.7505999803543091,3.6054999828338623,8.848899841308594,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,STT3A,66.16,2.755199909210205,4.164599895477295,50.61819839477539,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,STX1B,0.6,0.022600000724196434,3.771899938583374,0.21439999341964722,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,SUFU,11.72,0.4140999913215637,3.53439998626709,4.521900177001953,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,SYT2,0.71,0.025699999183416367,3.623199939727783,0.2533999979496002,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TANC2,8.83,0.31450000405311584,3.5618999004364014,3.7618000507354736,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TARDBP,39.51,1.5054999589920044,3.8106000423431396,20.01729965209961,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TBK1,30.41,1.113700032234192,3.6624999046325684,14.072500228881836,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TBXA2R,0.11,0.003599999938160181,3.304500102996826,0.039000000804662704,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TCF3,41.74,1.5749000310897827,3.772900104522705,22.47319984436035,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TCF7L2,47.08,1.8358999490737915,3.899199962615967,28.203500747680664,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TECTA,0.11,0.0035000001080334187,3.2451999187469482,0.039000000804662704,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TEK,0.05,0.002400000113993883,4.449900150299072,0.019500000402331352,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TERC,0.05,0.0017000000225380063,3.1805999279022217,0.019500000402331352,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TERT,0.0,0.0,0.0,0.0,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TET2,5.72,0.210099995136261,3.6721999645233154,2.202500104904175,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TET3,7.47,0.26570001244544983,3.5592000484466553,2.9042000770568848,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TGFB2,9.48,0.3601999878883362,3.7985999584198,6.841300010681152,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TGFBR2,18.53,0.6754000186920166,3.6451001167297363,8.147199630737305,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,THBD,10.63,0.4174000024795532,3.9277000427246094,8.225199699401855,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,THPO,5.5,0.19380000233650208,3.521199941635132,2.1635000705718994,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TIMP3,31.39,1.3078999519348145,4.166600227355957,32.97880172729492,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TINF2,33.3,1.2311999797821045,3.697700023651123,16.041099548339844,True
